Risk_ID,Control_ID,Domain,Risk_Statement,Likelihood,Impact,Risk_Score,Risk_Rating,Treatment,Owner,Target_Date,Status
R-001,A.8.2,Access Control,Privileged accounts in VLAN 40 have no periodic review — if credentials are compromised or misused there is no mechanism to detect or revoke access in a timely manner resulting in potential data breach,4,5,20,Critical,Mitigate,IT Manager,30 days,Open
R-002,A.5.19,Supplier Relationships,Third-party vendors are onboarded without formal security assessments — a compromised vendor with access to AceFinance systems or data could result in a supply chain breach with no prior visibility of the risk,4,5,20,Critical,Mitigate,Security Lead,45 days,Open
R-003,A.5.16,Access Control,No deprovisioning SLA exists for departing employees — former staff may retain active credentials and system access beyond their last working day creating insider threat and unauthorized access exposure,4,4,16,High,Mitigate,IT Manager,30 days,Open
R-004,A.5.17,Access Control,No MFA mandate or formal password policy is enforced — accounts are protected only by passwords which are susceptible to brute force phishing and credential stuffing attacks,4,4,16,High,Mitigate,IT Manager,30 days,Open
R-005,A.8.5,Access Control,MFA is not enforced for privileged or remote access accounts — if credentials are stolen attackers gain full access to critical systems without any secondary verification,4,4,16,High,Mitigate,IT Manager,30 days,Open
R-006,A.5.24,Incident Management,No formal incident response plan exists — in the event of a security incident the organization has no documented process for detection containment eradication or recovery resulting in extended breach duration and regulatory exposure,3,5,15,High,Mitigate,Security Lead,60 days,Open
R-007,A.5.15,Access Control,No formal access control policy document exists despite VLAN segmentation being in place — without policy documentation controls cannot be consistently enforced audited or communicated to staff,3,4,12,Medium,Mitigate,Security Lead,45 days,Open
R-008,A.5.18,Access Control,Access rights are provisioned ad hoc with no periodic recertification — over-privileged accounts accumulate over time increasing the blast radius of a potential compromise,3,4,12,Medium,Mitigate,Security Lead,60 days,Open
R-009,A.5.12,Asset Management,Information classification is inconsistently applied across the asset inventory — without consistent labelling sensitive data may be handled inadequately or shared without appropriate controls,3,4,12,Medium,Mitigate,IT Manager,60 days,Open
R-010,A.5.20,Supplier Relationships,Vendor contracts lack standard security and data protection clauses — in the event of a breach AceFinance has no contractual basis for requiring notification remediation or audit rights from the vendor,3,4,12,Medium,Mitigate,Legal/Security Lead,60 days,Open
R-011,A.5.25,Incident Management,No triage criteria exist for security events — analysts cannot consistently distinguish a security incident from normal activity resulting in delayed or missed escalation,3,4,12,Medium,Mitigate,Security Lead,45 days,Open
R-012,A.5.26,Incident Management,No containment or recovery runbooks exist — when an incident occurs response actions are improvised rather than procedural increasing recovery time and risk of incomplete remediation,3,4,12,Medium,Mitigate,Security Lead,60 days,Open
R-013,A.5.23,Supplier Relationships,SaaS tools are used without a formal cloud security policy — data residency data handling and access controls for cloud-hosted data are not formally defined or governed,3,4,12,Medium,Mitigate,IT Manager,60 days,Open
R-014,A.8.4,Access Control,No branch protection or code review gates are enforced on GitHub repositories — developers can push directly to main branches without review creating risk of malicious or erroneous code deployment,3,3,9,Medium,Mitigate,Dev Lead,30 days,Open
R-015,A.5.11,Asset Management,No offboarding asset-return checklist exists — departing employees may retain company devices containing sensitive data,3,3,9,Medium,Mitigate,HR Lead,30 days,Open
R-016,A.5.14,Asset Management,No data transfer policy governs email and file sharing — sensitive data may be transmitted via unencrypted or unapproved channels without detection,3,3,9,Medium,Mitigate,Security Lead,60 days,Open
R-017,A.5.21,Supplier Relationships,Sub-processors used by critical vendors are not disclosed or assessed — a breach at an undisclosed sub-processor could impact AceFinance data without any prior visibility,3,3,9,Medium,Mitigate,Security Lead,60 days,Open
R-018,A.5.22,Supplier Relationships,No annual reassessment of vendor security posture is conducted — a vendor that was compliant at onboarding may have degraded controls or new exposures that remain undetected,3,3,9,Medium,Mitigate,Security Lead,90 days,Open
R-019,A.5.10,Asset Management,No acceptable use policy has been distributed to staff — employees have no formal guidance on permitted use of company assets and data,3,2,6,Low,Monitor,IT Manager,45 days,Open
R-020,A.8.3,Access Control,Existing firewall ruleset enforces access restrictions but is not documented as a formal control — without documentation the control cannot be consistently audited or maintained,2,3,6,Low,Monitor,IT Manager,45 days,Open
R-021,A.5.27,Incident Management,No post-incident review process exists — lessons learned from security incidents are not captured or applied resulting in repeated vulnerabilities,2,3,6,Low,Monitor,Security Lead,60 days,Open
R-022,A.5.28,Incident Management,No evidence handling or chain-of-custody procedure exists — forensic evidence collected during an incident may be inadmissible or contaminated,2,3,6,Low,Monitor,Security Lead,90 days,Open
R-023,A.5.13,Asset Management,No information labelling scheme has been implemented — staff cannot identify data sensitivity from the asset itself,2,2,4,Low,Monitor,IT Manager,90 days,Open
R-024,A.5.9,Asset Management,Asset inventory exists but has no formal owner or refresh cadence — the inventory may become stale and inaccurate over time,2,3,6,Low,Monitor,IT Manager,90 days,Open
